"Time","Palworld 1.0 best pals","Palworld base pals","Palworld 1.0 builds","Palworld best base pals"
"2026-06-27",0,0,0,0
"2026-06-28",0,0,0,0
"2026-06-29",0,0,0,0
"2026-06-30",0,0,0,0
"2026-07-01",0,0,0,0
"2026-07-02",0,0,0,0
"2026-07-03",0,0,0,0
"2026-07-04",0,0,0,0
"2026-07-05",0,5,0,0
"2026-07-06",0,0,0,0
"2026-07-07",0,0,0,0
"2026-07-08",0,0,0,0
"2026-07-09",0,0,0,0
"2026-07-10",9,10,0,0
"2026-07-11",28,28,0,15
"2026-07-12",49,44,1,21
"2026-07-13",64,47,1,22
"2026-07-14",64,45,1,22
"2026-07-15",66,48,1,24
"2026-07-16",76,53,2,26
"2026-07-17",80,59,2,28
"2026-07-18",93,69,1,34
"2026-07-19",100,67,2,33
"2026-07-20",82,57,2,29
"2026-07-21",87,60,1,31
"2026-07-22",81,62,1,29
"2026-07-23",79,62,2,29
"2026-07-24",71,57,1,29
"2026-07-25",80,63,1,31
"2026-07-26",89,67,1,36
