"Time","Palworld 1.0 best pals","Palworld base pals","Palworld 1.0 builds","Palworld best base pals","best pals in palworld","best pals in palworld 1.0","best pals in palworld","best pals in palworld 1.0"
"2026-06-27",0,0,0,0,0,0,0,0
"2026-06-28",0,0,0,0,0,0,0,0
"2026-06-29",0,0,0,0,0,0,0,0
"2026-06-30",0,0,0,0,0,0,0,0
"2026-07-01",0,0,0,0,0,0,0,0
"2026-07-02",0,0,0,0,0,0,0,0
"2026-07-03",0,0,0,0,0,0,0,0
"2026-07-04",0,0,0,0,0,0,0,0
"2026-07-05",0,5,0,0,0,0,0,0
"2026-07-06",0,0,0,0,5,0,5,0
"2026-07-07",0,0,0,0,0,0,0,0
"2026-07-08",0,0,0,0,0,0,0,0
"2026-07-09",0,0,0,0,5,0,5,0
"2026-07-10",9,10,0,0,9,0,9,0
"2026-07-11",28,28,0,15,19,5,19,5
"2026-07-12",49,44,1,21,25,10,25,10
"2026-07-13",64,47,1,22,28,14,28,14
"2026-07-14",64,45,1,22,30,14,30,14
"2026-07-15",66,48,1,24,32,16,32,16
"2026-07-16",76,53,2,26,39,16,39,16
"2026-07-17",80,59,2,28,43,18,43,18
"2026-07-18",93,69,1,34,52,20,52,20
"2026-07-19",100,67,2,33,46,20,46,20
"2026-07-20",82,57,2,29,44,16,44,16
"2026-07-21",87,60,1,31,48,18,48,18
"2026-07-22",81,62,1,29,46,15,46,15
"2026-07-23",79,62,2,29,47,16,47,16
"2026-07-24",71,57,1,29,45,13,45,13
"2026-07-25",80,63,1,31,47,14,47,14
"2026-07-26",89,65,2,35,55,15,55,15
